Medications_Reference.md: frontmatter missing `trust`
Medications_Reference.md: frontmatter missing `population`
Corpus A/17_10_Ovarian_Cancer__Cysts_and_Torsion.md: frontmatter missing `trust`
Corpus A/17_10_Ovarian_Cancer__Cysts_and_Torsion.md: frontmatter missing `population`
Corpus A/18_Geriatrics_and_Older_Persons_Health.md: frontmatter missing `trust`
Corpus A/18_Geriatrics_and_Older_Persons_Health.md: frontmatter missing `population`
Corpus A/19_General_Practice_and_Preventive_Medicine.md: frontmatter missing `trust`
Corpus A/19_General_Practice_and_Preventive_Medicine.md: frontmatter missing `population`
Corpus A/Clinical-Process-EBM-Consent-Capacity.md: frontmatter missing `trust`
Corpus A/Clinical-Process-EBM-Consent-Capacity.md: frontmatter missing `population`
Corpus A/Communication.md: frontmatter missing `trust`
Corpus A/Communication.md: frontmatter missing `population`
Corpus A/Examination.md: frontmatter missing `trust`
Corpus A/Examination.md: frontmatter missing `population`
Corpus A/History-Taking.md: frontmatter missing `trust`
Corpus A/History-Taking.md: frontmatter missing `population`
Corpus A/Investigation-Interpretation.md: frontmatter missing `trust`
Corpus A/Investigation-Interpretation.md: frontmatter missing `population`
Corpus C/NEW_Acid-Base_Fluids_and_Electrolytes.md: frontmatter missing `trust`
Corpus C/NEW_Acid-Base_Fluids_and_Electrolytes.md: frontmatter missing `population`
Corpus C/NEW_Breast.md: frontmatter missing `trust`
Corpus C/NEW_Breast.md: frontmatter missing `population`
Corpus C/NEW_Cardiology_and_Vascular.md: frontmatter missing `trust`
Corpus C/NEW_Cardiology_and_Vascular.md: frontmatter missing `population`
Corpus C/NEW_Dermatology.md: frontmatter missing `trust`
Corpus C/NEW_Dermatology.md: frontmatter missing `population`
Corpus C/NEW_Drug_Classes_Cardiovascular_Antihypertensives.md: frontmatter missing `trust`
Corpus C/NEW_Drug_Classes_Cardiovascular_Antihypertensives.md: frontmatter missing `population`
Corpus C/NEW_Drugs_01_Allergy_and_Anaphylaxis.md: frontmatter missing `trust`
Corpus C/NEW_Drugs_01_Allergy_and_Anaphylaxis.md: frontmatter missing `population`
Corpus C/NEW_Drugs_02_Anaesthetics.md: frontmatter missing `trust`
Corpus C/NEW_Drugs_02_Anaesthetics.md: frontmatter missing `population`
Corpus C/NEW_Drugs_03_Analgesics.md: frontmatter missing `trust`
Corpus C/NEW_Drugs_03_Analgesics.md: frontmatter missing `population`
Corpus C/NEW_Drugs_04_Antidotes_and_Antivenoms.md: frontmatter missing `trust`
Corpus C/NEW_Drugs_04_Antidotes_and_Antivenoms.md: frontmatter missing `population`
Corpus C/NEW_Drugs_05_Anti_infectives.md: frontmatter missing `trust`
Corpus C/NEW_Drugs_05_Anti_infectives.md: frontmatter missing `population`
Corpus C/NEW_Drugs_06_Cardiovascular.md: frontmatter missing `trust`
Corpus C/NEW_Drugs_06_Cardiovascular.md: frontmatter missing `population`
Corpus C/NEW_Drugs_07_Blood_and_Electrolytes.md: frontmatter missing `trust`
Corpus C/NEW_Drugs_07_Blood_and_Electrolytes.md: frontmatter missing `population`
Corpus C/NEW_Drugs_08_Dermatological.md: frontmatter missing `trust`
Corpus C/NEW_Drugs_08_Dermatological.md: frontmatter missing `population`
Corpus C/NEW_Drugs_09_ENT.md: frontmatter missing `trust`
Corpus C/NEW_Drugs_09_ENT.md: frontmatter missing `population`
Corpus C/NEW_Drugs_10_Endocrine.md: frontmatter missing `trust`
Corpus C/NEW_Drugs_10_Endocrine.md: frontmatter missing `population`
Corpus C/NEW_Drugs_11_Eye.md: frontmatter missing `trust`
Corpus C/NEW_Drugs_11_Eye.md: frontmatter missing `population`
Corpus C/NEW_Drugs_12_Gastrointestinal.md: frontmatter missing `trust`
Corpus C/NEW_Drugs_12_Gastrointestinal.md: frontmatter missing `population`
Corpus C/NEW_Drugs_13_Genitourinary.md: frontmatter missing `trust`
Corpus C/NEW_Drugs_13_Genitourinary.md: frontmatter missing `population`
Corpus C/NEW_Drugs_14_Immunomodulators_and_Antineoplastics.md: frontmatter missing `trust`
Corpus C/NEW_Drugs_14_Immunomodulators_and_Antineoplastics.md: frontmatter missing `population`
Corpus C/NEW_Drugs_15_Neurological.md: frontmatter missing `trust`
Corpus C/NEW_Drugs_15_Neurological.md: frontmatter missing `population`
Corpus C/NEW_Drugs_16_Obstetric_and_Gynaecological.md: frontmatter missing `trust`
Corpus C/NEW_Drugs_16_Obstetric_and_Gynaecological.md: frontmatter missing `population`
Corpus C/NEW_Drugs_17_Psychotropic.md: frontmatter missing `trust`
Corpus C/NEW_Drugs_17_Psychotropic.md: frontmatter missing `population`
Corpus C/NEW_Drugs_18_Respiratory.md: frontmatter missing `trust`
Corpus C/NEW_Drugs_18_Respiratory.md: frontmatter missing `population`
Corpus C/NEW_Drugs_19_Rheumatological.md: frontmatter missing `trust`
Corpus C/NEW_Drugs_19_Rheumatological.md: frontmatter missing `population`
Corpus C/NEW_Drugs_20_Vaccines.md: frontmatter missing `trust`
Corpus C/NEW_Drugs_20_Vaccines.md: frontmatter missing `population`
Corpus C/NEW_Drugs_21_Miscellaneous.md: frontmatter missing `trust`
Corpus C/NEW_Drugs_21_Miscellaneous.md: frontmatter missing `population`
Corpus C/NEW_ENT_and_Oral.md: frontmatter missing `trust`
Corpus C/NEW_ENT_and_Oral.md: frontmatter missing `population`
Corpus C/NEW_Exam_Manoeuvres_and_Procedures.md: frontmatter missing `trust`
Corpus C/NEW_Exam_Manoeuvres_and_Procedures.md: frontmatter missing `population`
Corpus C/NEW_Gastroenterology_and_Hepatology.md: frontmatter missing `trust`
Corpus C/NEW_Gastroenterology_and_Hepatology.md: frontmatter missing `population`
Corpus C/NEW_Geriatrics.md: frontmatter missing `trust`
Corpus C/NEW_Geriatrics.md: frontmatter missing `population`
Corpus C/NEW_Gynaecology_and_Reproductive.md: frontmatter missing `trust`
Corpus C/NEW_Gynaecology_and_Reproductive.md: frontmatter missing `population`
Corpus C/NEW_Infectious_Diseases.md: frontmatter missing `trust`
Corpus C/NEW_Infectious_Diseases.md: frontmatter missing `population`
Corpus C/NEW_Investigations_Cardiology.md: frontmatter missing `trust`
Corpus C/NEW_Investigations_Cardiology.md: frontmatter missing `population`
Corpus C/NEW_Investigations_Endocrine.md: frontmatter missing `trust`
Corpus C/NEW_Investigations_Endocrine.md: frontmatter missing `population`
Corpus C/NEW_Investigations_Gastroenterology.md: frontmatter missing `trust`
Corpus C/NEW_Investigations_Gastroenterology.md: frontmatter missing `population`
Corpus C/NEW_Investigations_General_and_Preventive.md: frontmatter missing `trust`
Corpus C/NEW_Investigations_General_and_Preventive.md: frontmatter missing `population`
Corpus C/NEW_Investigations_Haematology.md: frontmatter missing `trust`
Corpus C/NEW_Investigations_Haematology.md: frontmatter missing `population`
Corpus C/NEW_Investigations_Haematology_Part2.md: frontmatter missing `trust`
Corpus C/NEW_Investigations_Haematology_Part2.md: frontmatter missing `population`
Corpus C/NEW_Investigations_Infectious_Diseases.md: frontmatter missing `trust`
Corpus C/NEW_Investigations_Infectious_Diseases.md: frontmatter missing `population`
Corpus C/NEW_Investigations_Obstetrics_and_Gynaecology.md: frontmatter missing `trust`
Corpus C/NEW_Investigations_Obstetrics_and_Gynaecology.md: frontmatter missing `population`
Corpus C/NEW_Investigations_Orthopaedics_Neurology_and_Other.md: frontmatter missing `trust`
Corpus C/NEW_Investigations_Orthopaedics_Neurology_and_Other.md: frontmatter missing `population`
Corpus C/NEW_Investigations_Renal_and_Urology.md: frontmatter missing `trust`
Corpus C/NEW_Investigations_Renal_and_Urology.md: frontmatter missing `population`
Corpus C/NEW_Investigations_Respiratory.md: frontmatter missing `trust`
Corpus C/NEW_Investigations_Respiratory.md: frontmatter missing `population`
Corpus C/NEW_Investigations_Rheumatology.md: frontmatter missing `trust`
Corpus C/NEW_Investigations_Rheumatology.md: frontmatter missing `population`
Corpus C/NEW_Neurology.md: frontmatter missing `trust`
Corpus C/NEW_Neurology.md: frontmatter missing `population`
Corpus C/NEW_Obstetrics.md: frontmatter missing `trust`
Corpus C/NEW_Obstetrics.md: frontmatter missing `population`
Corpus C/NEW_Ophthalmology.md: frontmatter missing `trust`
Corpus C/NEW_Ophthalmology.md: frontmatter missing `population`
Corpus C/NEW_Orthopaedics_and_Trauma.md: frontmatter missing `trust`
Corpus C/NEW_Orthopaedics_and_Trauma.md: frontmatter missing `population`
Corpus C/NEW_Psychiatry.md: frontmatter missing `trust`
Corpus C/NEW_Psychiatry.md: frontmatter missing `population`
Corpus C/NEW_Renal_and_Urology.md: frontmatter missing `trust`
Corpus C/NEW_Renal_and_Urology.md: frontmatter missing `population`
Corpus C/NEW_Respiratory.md: frontmatter missing `trust`
Corpus C/NEW_Respiratory.md: frontmatter missing `population`
Corpus C/NEW_Rheumatology_and_Immunology.md: frontmatter missing `trust`
Corpus C/NEW_Rheumatology_and_Immunology.md: frontmatter missing `population`
Corpus C/NEW_Safeguarding_and_Forensic.md: frontmatter missing `trust`
Corpus C/NEW_Safeguarding_and_Forensic.md: frontmatter missing `population`
Corpus B/00_BUILD_QUEUE.md: frontmatter missing `trust`
Corpus B/00_BUILD_QUEUE.md: frontmatter missing `population`
Corpus B/00_BUILD_QUEUE_v2.md: frontmatter missing `trust`
Corpus B/00_BUILD_QUEUE_v2.md: frontmatter missing `population`
Corpus B/A10_Ethics__Capacity__Consent_and_Certification.md: frontmatter missing `trust`
Corpus B/A10_Ethics__Capacity__Consent_and_Certification.md: frontmatter missing `population`
Corpus B/A1_Emergency_-_Deteriorating_Patient__Sepsis__Cardiac_Arrest.md: frontmatter missing `trust`
Corpus B/A1_Emergency_-_Deteriorating_Patient__Sepsis__Cardiac_Arrest.md: frontmatter missing `population`
Corpus B/A2_Airway_Compromise__Stridor_and_Tracheostomy_Emergencies.md: frontmatter missing `trust`
Corpus B/A2_Airway_Compromise__Stridor_and_Tracheostomy_Emergencies.md: frontmatter missing `population`
Corpus B/A3_Respiratory_Failure__Bronchospasm_and_Hypoxia.md: frontmatter missing `trust`
Corpus B/A3_Respiratory_Failure__Bronchospasm_and_Hypoxia.md: frontmatter missing `population`
Corpus B/A4_Dyspnoea__Cough_and_the_Solitary_Pulmonary_Nodule.md: frontmatter missing `trust`
Corpus B/A4_Dyspnoea__Cough_and_the_Solitary_Pulmonary_Nodule.md: frontmatter missing `population`
Corpus B/A5_Toxicology_II_-_Poisoned_Patient__ADRs_and_Immunotherapy.md: frontmatter missing `trust`
Corpus B/A5_Toxicology_II_-_Poisoned_Patient__ADRs_and_Immunotherapy.md: frontmatter missing `population`
Corpus B/A6_Thermal_and_Environmental_Injury.md: frontmatter missing `trust`
Corpus B/A6_Thermal_and_Environmental_Injury.md: frontmatter missing `population`
Corpus B/A7_Burns__Chemical_Injury__Wounds_and_Crush_Injury.md: frontmatter missing `trust`
Corpus B/A7_Burns__Chemical_Injury__Wounds_and_Crush_Injury.md: frontmatter missing `population`
Corpus B/A8_Foreign_Bodies_by_Site.md: frontmatter missing `trust`
Corpus B/A8_Foreign_Bodies_by_Site.md: frontmatter missing `population`
Corpus B/A9_Transfusion__Coagulopathy_and_Anticoagulant_Emergencies.md: frontmatter missing `trust`
Corpus B/A9_Transfusion__Coagulopathy_and_Anticoagulant_Emergencies.md: frontmatter missing `population`
Corpus B/B1_Chest_Pain_Framework_and_Cardiac_Biomarkers.md: frontmatter missing `trust`
Corpus B/B1_Chest_Pain_Framework_and_Cardiac_Biomarkers.md: frontmatter missing `population`
Corpus B/B2_Hypertension_Spectrum.md: frontmatter missing `trust`
Corpus B/B2_Hypertension_Spectrum.md: frontmatter missing `population`
Corpus B/B3_Arrhythmia__Bradycardia_and_Cardiac_Devices.md: frontmatter missing `trust`
Corpus B/B3_Arrhythmia__Bradycardia_and_Cardiac_Devices.md: frontmatter missing `population`
Corpus B/B4_Syncope__Collapse_and_Hypotension.md: frontmatter missing `trust`
Corpus B/B4_Syncope__Collapse_and_Hypotension.md: frontmatter missing `population`
Corpus B/B5_Murmurs__Endocarditis_and_Vascular_Disease.md: frontmatter missing `trust`
Corpus B/B5_Murmurs__Endocarditis_and_Vascular_Disease.md: frontmatter missing `population`
Corpus B/B6_Oedema__Fatigue__Weakness_and_Undifferentiated_Presentations.md: frontmatter missing `trust`
Corpus B/B6_Oedema__Fatigue__Weakness_and_Undifferentiated_Presentations.md: frontmatter missing `population`
Corpus B/C1_Acute_Abdomen.md: frontmatter missing `trust`
Corpus B/C1_Acute_Abdomen.md: frontmatter missing `population`
Corpus B/C2_Nausea_and_Vomiting.md: frontmatter missing `trust`
Corpus B/C2_Nausea_and_Vomiting.md: frontmatter missing `population`
Corpus B/C3_Jaundice_and_Liver_Disease.md: frontmatter missing `trust`
Corpus B/C3_Jaundice_and_Liver_Disease.md: frontmatter missing `population`
Corpus B/C4_Gastrointestinal_Bleeding.md: frontmatter missing `trust`
Corpus B/C4_Gastrointestinal_Bleeding.md: frontmatter missing `population`
Corpus B/C5_Bowel_Habit__Obstruction_and_Distension.md: frontmatter missing `trust`
Corpus B/C5_Bowel_Habit__Obstruction_and_Distension.md: frontmatter missing `population`
Corpus B/C6_Dyspepsia__Oesophageal_and_Anorectal_Disease.md: frontmatter missing `trust`
Corpus B/C6_Dyspepsia__Oesophageal_and_Anorectal_Disease.md: frontmatter missing `population`
Corpus B/C7_Pancreatobiliary_Disease.md: frontmatter missing `trust`
Corpus B/C7_Pancreatobiliary_Disease.md: frontmatter missing `population`
Corpus B/D1_Headache_and_Meningism.md: frontmatter missing `trust`
Corpus B/D1_Headache_and_Meningism.md: frontmatter missing `population`
Corpus B/D2_Altered_Consciousness_and_Cognition.md: frontmatter missing `trust`
Corpus B/D2_Altered_Consciousness_and_Cognition.md: frontmatter missing `population`
Corpus B/D3_Stroke_and_Focal_Neurological_Deficit.md: frontmatter missing `trust`
Corpus B/D3_Stroke_and_Focal_Neurological_Deficit.md: frontmatter missing `population`
Corpus B/D4_Weakness__Neuropathy_and_Radiculopathy.md: frontmatter missing `trust`
Corpus B/D4_Weakness__Neuropathy_and_Radiculopathy.md: frontmatter missing `population`
Corpus B/D5_Dizziness__Vertigo_and_Gait.md: frontmatter missing `trust`
Corpus B/D5_Dizziness__Vertigo_and_Gait.md: frontmatter missing `population`
Corpus B/D6_Seizures_and_Movement_Disorders.md: frontmatter missing `trust`
Corpus B/D6_Seizures_and_Movement_Disorders.md: frontmatter missing `population`
Corpus B/D7_Cranial_Nerves_and_Special_Senses.md: frontmatter missing `trust`
Corpus B/D7_Cranial_Nerves_and_Special_Senses.md: frontmatter missing `population`
Corpus B/F0-1_Toxidromes__Allergic_Emergencies_and_Envenomation.md: frontmatter missing `trust`
Corpus B/F0-1_Toxidromes__Allergic_Emergencies_and_Envenomation.md: frontmatter missing `population`
Corpus B/F0-2_Acid-Base__DKA_and_Fluid_States.md: frontmatter missing `trust`
Corpus B/F0-2_Acid-Base__DKA_and_Fluid_States.md: frontmatter missing `population`
Corpus B/F0-3_Shock_Phenotypes_and_Sepsis_Syndromes.md: frontmatter missing `trust`
Corpus B/F0-3_Shock_Phenotypes_and_Sepsis_Syndromes.md: frontmatter missing `population`
Corpus B/F0-4_Resuscitation_Algorithms_and_Emergency_Procedures.md: frontmatter missing `trust`
Corpus B/F0-4_Resuscitation_Algorithms_and_Emergency_Procedures.md: frontmatter missing `population`
Corpus B/F0-5_Acute_Respiratory__Headache_and_Head_Injury.md: frontmatter missing `trust`
Corpus B/F0-5_Acute_Respiratory__Headache_and_Head_Injury.md: frontmatter missing `population`
Corpus B/GER1_Comprehensive_Geriatric_Assessment.md: frontmatter missing `trust`
Corpus B/GER1_Comprehensive_Geriatric_Assessment.md: frontmatter missing `population`
Corpus B/GER2_Geriatric_Syndromes_and_End_of_Life_Care.md: frontmatter missing `trust`
Corpus B/GER2_Geriatric_Syndromes_and_End_of_Life_Care.md: frontmatter missing `population`
