Category,Topic,Studied? (Y/N),Confidence (1-3),Notes,Yield (MCQ+OSCE),UK Notes Coverage (est.),If gap: suggested resource
Endocrine & Metabolic,Diabetic ketoacidosis,,,,High,Likely covered,
Endocrine & Metabolic,Diabetic retinopathy,,,,High,Likely covered,
Endocrine & Metabolic,"Electrolyte, acid base disorders & SIADH",,,,Medium,Likely covered,
Endocrine & Metabolic,"Extended electrolytes: Ca, Mg, PO4",,,,Low,Unlikely covered,Zero to Finals - Endocrinology
Endocrine & Metabolic,Glucose/HbA1c + OGTT,,,,Low,Unlikely covered,Zero to Finals - Endocrinology
Endocrine & Metabolic,Goitre,,,,Low,Likely covered,
Endocrine & Metabolic,Graves' Hyperthyroidism,,,,High,Likely covered,
Endocrine & Metabolic,Hyper and hypothyroidism,,,,Medium,Likely covered,
Endocrine & Metabolic,Hypercalcaemia and hypocalcaemia,,,,Medium,Likely covered,
Endocrine & Metabolic,Hyperkalaemia and hypokalaemia,,,,Medium,Likely covered,
Endocrine & Metabolic,Hypernatraemia and hyponatraemia,,,,Low,Likely covered,
Endocrine & Metabolic,Hyperthyroidism Thyroid Storm,,,,High,Likely covered,
Endocrine & Metabolic,Hyperthyroidism Thyroiditis,,,,High,Likely covered,
Endocrine & Metabolic,"Hypoglycaemia (neonatal, paediatric and adult)",,,,High,Likely covered,
Endocrine & Metabolic,Hypoparathyroidism,,,,Low,Likely covered,
Endocrine & Metabolic,Hypopituitarism,,,,Low,Unlikely covered,Zero to Finals - Endocrinology
Endocrine & Metabolic,Hypothyroidism.,,,,High,Likely covered,
Endocrine & Metabolic,Lipid profile (added),,,,Low,Unlikely covered,Zero to Finals - Endocrinology
Endocrine & Metabolic,Obesity,,,,Low,Likely covered,
Endocrine & Metabolic,Pituitary disorders,,,,High,Unlikely covered,Zero to Finals - Endocrinology
Endocrine & Metabolic,Primary hyperaldosteronism,,,,Low,Likely covered,
Endocrine & Metabolic,Principles of fluid and electrolyte management in surgical patients,,,,Low,Unlikely covered,Zero to Finals - Endocrinology
Endocrine & Metabolic,Prolactinoma,,,,Low,Likely covered,
Endocrine & Metabolic,Resp acidosis,,,,Medium,Unlikely covered,Zero to Finals - Endocrinology
Endocrine & Metabolic,SIADH,,,,High,Likely covered,
Endocrine & Metabolic,Thyroid & Other Endocrine disorders in children,,,,Low,Partially covered,Zero to Finals - Endocrinology
Endocrine & Metabolic,"Thyroid disease (Goitre, Graves, thyroiditis)",,,,Low,Likely covered,
Endocrine & Metabolic,Thyroid eye disease,,,,Medium,Likely covered,
Endocrine & Metabolic,Thyroid function tests,,,,Medium,Partially covered,Zero to Finals - Endocrinology
Endocrine & Metabolic,Weight change,,,,High,Unlikely covered,Zero to Finals - Endocrinology
Endocrine & Metabolic,metabolic acidosis,,,,High,Likely covered,
Endocrine & Metabolic,metabolic alkalosis,,,,Medium,Likely covered,
Endocrine & Metabolic,resp alkalosis,,,,Low,Unlikely covered,Zero to Finals - Endocrinology
Sexual Health / STIs,Bacterial vaginosis,,,,Low,Likely covered,
Sexual Health / STIs,Chancroid (Haemophilus ducreyi),,,,Low,Partially covered,BASHH UK national STI guidelines (bashh.org)
Sexual Health / STIs,"Chlamydia – Chlamydia trachomatis – D-K serotypes (urogenital chlamydia), L1-L3 serotypes (lymphogranuloma venereum)",,,,Medium,Likely covered,
Sexual Health / STIs,Genital herpes (Herpes simplex),,,,Low,Likely covered,
Sexual Health / STIs,Gonorrhoea (Neisseria gonorrhoea),,,,Medium,Likely covered,
Sexual Health / STIs,Granuloma inguinale (Klebsiella granulomatosis),,,,Low,Partially covered,BASHH UK national STI guidelines (bashh.org)
Sexual Health / STIs,Herpes Zoster ophthalmicus,,,,Medium,Likely covered,
Sexual Health / STIs,Human papillomavirus and genital warts,,,,Low,Likely covered,
Sexual Health / STIs,Mycoplasma genitalium,,,,Low,Likely covered,
Sexual Health / STIs,Pubic lice (Pediculosis pubis),,,,Low,Partially covered,BASHH UK national STI guidelines (bashh.org)
Sexual Health / STIs,Sexually transmitted diseases (STD),,,,Low,Likely covered,
Sexual Health / STIs,Syphilis (Treponema pallidum),,,,High,Partially covered,BASHH UK national STI guidelines (bashh.org)
Musculoskeletal / Orthopaedics / Rheumatology,? Intra-articular injury,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Achilles TENDINOPATHY,,,,Medium,Unlikely covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Achilles tendon rupture,,,,Medium,Partially covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Acromio-clavicular ligament iNJURY,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Adhesive Capsulitis,,,,Medium,Unlikely covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Ankle Syndesmosis iNJURY,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Ankylosing spondylitis,,,,Medium,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Any rotator cuff injury,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Autoimmune markers,,,,Medium,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Back pain,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Baker’s cyst,,,,Low,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Bone pain,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Carpal tunnel syndrome,,,,High,Unlikely covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Comminuted injury,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Common dislocation - diagnosis and management,,,,Medium,Partially covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Common fractures - diagnosis and management,,,,Medium,Partially covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,"Common shoulder, elbow, knee, ankle injury – diagnosis and management",,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Compartment's Syndrome,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Cruciate Ligaments of Knee iNJURY (acl + pcl),,,,Medium,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,"Discitis,",,,,Low,Unlikely covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Distal Fibula Fracture,,,,High,Partially covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Distal radius Fracture,,,,High,Partially covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Dupuytren’s contracture,,,,Low,Unlikely covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Epicondylitis,,,,Medium,Unlikely covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Flexor sheath tenosynovitis,,,,Medium,Partially covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Fracture lines in FRACTUREs,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Gleno-humeral (shoulder) DISLOCATIONS,,,,Medium,Partially covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Gout,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Gout and pseudogout,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Hip post joint replacement DISLOCATIONS,,,,Medium,Partially covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Infective Myositis,,,,Medium,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,"Injury to the meniscus, cruciate or collateral ligaments",,,,Medium,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Interphalangeal joints DISLOCATIONS,,,,Medium,Unlikely covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Joint aspirate analysis,,,,Medium,Partially covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Joint pain (generalised and local),,,,High,Partially covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,"Joint swelling or red, hot, painful joints",,,,Medium,Unlikely covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Juvenile idiopathic arthritis,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Knee meniscus INJURY,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Labrum at hip INJURY,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Labrum at shoulder INJURY,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Lateral epicondylitis (Tennis elbow),,,,Medium,Partially covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Limb Pain (Paraesthesia),,,,High,Partially covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Medial Collateral Ligament of Knee iNJURY,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Medial epicondylitis (Golfer’s elbow),,,,Low,Partially covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Metacarpal Fracture,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Muscle or nerve injury,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Myalgia,,,,Medium,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Neck of Femur Fracture,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Neck pain,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Open vs Closed msk injury,,,,Medium,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Osteoarthritis,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Osteoporosis,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Other clinical signs of the hands,,,,Medium,Unlikely covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Patellar TENDINOPATHY,,,,Medium,Unlikely covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Polymyalgia rheumatica,,,,Medium,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Previous lower limb surgery or hip replacement,,,,Medium,Partially covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Primary Osteosarcoma,,,,Medium,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Pseudogout,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Psoriatic arthritis,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Reactive arthritis,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Rhabdomyolysis,,,,Medium,Unlikely covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Rheumatoid arthritis,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Rotator Cuff TENDINOPATHY,,,,Medium,Unlikely covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Rotator cuff TEARS,,,,Medium,Partially covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Ruptured Biceps Brachii Head,,,,Medium,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Scaphoid Fracture,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Scoliosis,,,,Medium,Unlikely covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Shoulder dysfunction including rotator cuff injury,,,,Medium,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Shoulder dystocia,,,,Medium,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Spinal fractures,,,,Medium,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Sport injury,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Sprains and strains,,,,Medium,Unlikely covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Subacromial impingement syndrome,,,,Medium,Unlikely covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Suprachondylar Fracture of humerus Fracture,,,,High,Partially covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Surgical Neck of humerus Fracture,,,,High,Partially covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,Surgical scars e.g. total knee replacement,,,,Low,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Talo-Fibular Ligaments (ankle) iNJURY,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Temporal Arteritis,,,,Medium,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,"Upper limb X-ray, Lower limb X-ray",,,,Low,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Upper or lower limb fracture,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,Vertebral Column Crush Fracture,,,,High,Partially covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,deforimites (displacement vs angulation vs rotation),,,,Low,Unlikely covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Musculoskeletal / Orthopaedics / Rheumatology,lateral Collateral Ligament of Knee iNJURY,,,,High,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,spina bifida,,,,Medium,Likely covered,
Musculoskeletal / Orthopaedics / Rheumatology,supraspinatus tendinitis,,,,Medium,Unlikely covered,Orthobullets (orthobullets.com); Zero to Finals for rheum
Respiratory,ABG/VBG,,,,Medium,Unlikely covered,Zero to Finals - Respiratory
Respiratory,Acute bronchitis,,,,Medium,Unlikely covered,Zero to Finals - Respiratory
Respiratory,Acute respiratory distress syndrome,,,,High,Likely covered,
Respiratory,"Acute respiratory infections: LRTI, Bronchiolitis, Croup, Pertussis",,,,High,Likely covered,
Respiratory,Asthma,,,,High,Likely covered,
Respiratory,Asthma & COPD,,,,High,Likely covered,
Respiratory,Asthma in childhood,,,,High,Likely covered,
Respiratory,Autoimmune lung disease- sarcoidosis,,,,Medium,Likely covered,
Respiratory,Bacterial Pneumonia,,,,High,Likely covered,
Respiratory,Bronchiectasis,,,,Medium,Likely covered,
Respiratory,Bronchiolitis,,,,High,Likely covered,
Respiratory,COPD,,,,High,Likely covered,
Respiratory,Chest X-ray (systematic approach — highest yield film by far),,,,Medium,Unlikely covered,Zero to Finals - Respiratory
Respiratory,Child with wheeze and persistent cough,,,,High,Likely covered,
Respiratory,"Children’s health including crying baby, feeding problems, atopic, asthma, hearing problems, common viral infections, teething, enuresis, developmental delay",,,,High,Likely covered,
Respiratory,Cough,,,,High,Likely covered,
Respiratory,Croup,,,,High,Likely covered,
Respiratory,Cystic Fibrosis,,,,High,Likely covered,
Respiratory,Diphtheria,,,,Medium,Likely covered,
Respiratory,Haemoptysis,,,,Medium,Unlikely covered,Zero to Finals - Respiratory
Respiratory,Interstitial lung disease,,,,Medium,Likely covered,
Respiratory,Lung Cancer,,,,High,Likely covered,
Respiratory,Lung cancers,,,,Medium,Likely covered,
Respiratory,Mesothelioma,,,,Medium,Likely covered,
Respiratory,Pertussis,,,,Medium,Unlikely covered,Zero to Finals - Respiratory
Respiratory,Pleural effusion,,,,High,Likely covered,
Respiratory,Pleural fluid analysis (pleural tap) — respiratory/general medicine,,,,Medium,Likely covered,
Respiratory,Pneumoconiosis,,,,Medium,Unlikely covered,Zero to Finals - Respiratory
Respiratory,"Pneumonia (including atypical, community acquire, hospital acquire, aspiration)",,,,Medium,Partially covered,Zero to Finals - Respiratory
Respiratory,Pneumothorax,,,,Medium,Likely covered,
Respiratory,Pulmonary Embolism,,,,High,Likely covered,
Respiratory,Pulmonary embolus,,,,High,Likely covered,
Respiratory,"Pulmonary fibrosis,",,,,High,Likely covered,
Respiratory,Respiratory failure (Type 1 and 2),,,,Medium,Likely covered,
Respiratory,"Shortness of breath, dyspnoea",,,,Medium,Unlikely covered,Zero to Finals - Respiratory
Respiratory,Sleep apnoea,,,,Medium,Likely covered,
Respiratory,Spirometry + Peak flow (added — respiratory/GP),,,,Medium,Likely covered,
Respiratory,Stridor,,,,Medium,Likely covered,
Respiratory,Tuberculosis,,,,Medium,Likely covered,
Respiratory,Upper Respiratory Tract Infection,,,,High,Likely covered,
Respiratory,Viral induced wheeze,,,,Medium,Likely covered,
Respiratory,Wheeze,,,,High,Likely covered,
Respiratory,Whooping cough,,,,Medium,Likely covered,
Respiratory,empyema,,,,Medium,Unlikely covered,Zero to Finals - Respiratory
Respiratory,haemothorax,,,,Medium,Unlikely covered,Zero to Finals - Respiratory
Gynaecology & Breast,Abnormal Pap smear,,,,Low,Partially covered,Zero to Finals - Gynaecology
Gynaecology & Breast,Abnormal vaginal bleeding,,,,Medium,Likely covered,
Gynaecology & Breast,Amenorrhoea,,,,Low,Likely covered,
Gynaecology & Breast,Breast cancer,,,,High,Likely covered,
Gynaecology & Breast,"Breast feeding, artificial feeding & nutrition",,,,Medium,Partially covered,Zero to Finals - Gynaecology
Gynaecology & Breast,Cervical MALIGNANCY,,,,Medium,Likely covered,
Gynaecology & Breast,Contraception incl Sterilization,,,,High,Likely covered,
Gynaecology & Breast,Duct ectasia,,,,Low,Likely covered,
Gynaecology & Breast,Dyspareunia,,,,Low,Unlikely covered,Zero to Finals - Gynaecology
Gynaecology & Breast,Endometrial MALIGNANCY,,,,Medium,Likely covered,
Gynaecology & Breast,Endometriosis,,,,High,Likely covered,
Gynaecology & Breast,Fat necrosis of the breast,,,,Medium,Likely covered,
Gynaecology & Breast,Fibroadenoma,,,,High,Likely covered,
Gynaecology & Breast,Fibrocystic disease,,,,Low,Likely covered,
Gynaecology & Breast,Human Papilloma Virus – screening & effects(eg: Cervical/Vaginal Dysplasia & Cancer,,,,Medium,Likely covered,
Gynaecology & Breast,Infertility,,,,High,Unlikely covered,Zero to Finals - Gynaecology
Gynaecology & Breast,Intermenstrual bleeding,,,,Medium,Likely covered,
Gynaecology & Breast,Intraductal papilloma,,,,Low,Likely covered,
Gynaecology & Breast,Intrauterine growth restriction (IUGR),,,,Low,Likely covered,
Gynaecology & Breast,"Lump – Breast, neck and other sites",,,,Medium,Likely covered,
Gynaecology & Breast,Menopause,,,,High,Likely covered,
Gynaecology & Breast,Menorrhagia,,,,Low,Likely covered,
Gynaecology & Breast,Menstruation,,,,Low,Unlikely covered,Zero to Finals - Gynaecology
Gynaecology & Breast,Ovarian MALIGNANCY,,,,Medium,Likely covered,
Gynaecology & Breast,Ovarian Torsion,,,,High,Likely covered,
Gynaecology & Breast,Ovarian cancer and Adnexal diseases,,,,Medium,Likely covered,
Gynaecology & Breast,Pap smear/HPV testing (fits obgyn/GP well here too),,,,Low,Unlikely covered,Zero to Finals - Gynaecology
Gynaecology & Breast,Pelvic Inflammatory Disease,,,,High,Likely covered,
Gynaecology & Breast,Pelvic pain,,,,High,Likely covered,
Gynaecology & Breast,Phyllodes tumour,,,,Medium,Likely covered,
Gynaecology & Breast,Polycystic ovarian syndrome (PCOS),,,,Medium,Likely covered,
Gynaecology & Breast,Polycystic ovary syndrome,,,,Medium,Likely covered,
Gynaecology & Breast,Post-coital bleeding,,,,Medium,Likely covered,
Gynaecology & Breast,Premenstrual dysphoric disorder,,,,Low,Likely covered,
Gynaecology & Breast,Ruptured Ovarian Cyst,,,,Medium,Partially covered,Zero to Finals - Gynaecology
Gynaecology & Breast,STI & Pelvic inflammatory disorders,,,,High,Partially covered,Zero to Finals - Gynaecology
Gynaecology & Breast,The menstrual cycle and its disorders: Puberty Dysmenorrhoea Abnormal uterine bleeding Menopause,,,,High,Likely covered,
Gynaecology & Breast,Trichomoniasis (Trichomonas vaginalis),,,,Low,Likely covered,
Gynaecology & Breast,Uterine MALIGNANCY,,,,Low,Likely covered,
Gynaecology & Breast,Vaginal discharge,,,,High,Likely covered,
Anaesthetics / Perioperative Care,Group & hold / crossmatch,,,,Low,Partially covered,Oxford Handbook of Clinical Surgery / Anaesthesia chapter
Anaesthetics / Perioperative Care,Postoperative care and complications,,,,Medium,Partially covered,Oxford Handbook of Clinical Surgery / Anaesthesia chapter
Anaesthetics / Perioperative Care,Pre operation assessment,,,,Medium,Partially covered,Oxford Handbook of Clinical Surgery / Anaesthesia chapter
Australian Context of Health / Aboriginal & TSI Health (NEW),Aboriginal and Torres Strait Islander health issues,,,,Low,Unlikely covered,Australian Indigenous HealthInfoNet (healthinfonet.ecu.edu.au); RACGP rural health curriculum
Australian Context of Health / Aboriginal & TSI Health (NEW),Australian healthcare system,,,,Low,Partially covered,Australian Indigenous HealthInfoNet (healthinfonet.ecu.edu.au); RACGP rural health curriculum
Australian Context of Health / Aboriginal & TSI Health (NEW),Detention / Prison / Immigration issues,,,,Low,Unlikely covered,Australian Indigenous HealthInfoNet (healthinfonet.ecu.edu.au); RACGP rural health curriculum
Australian Context of Health / Aboriginal & TSI Health (NEW),Rural general practice issues,,,,Medium,Unlikely covered,Australian Indigenous HealthInfoNet (healthinfonet.ecu.edu.au); RACGP rural health curriculum
Psychiatry & Mental Health,Acute psychosis,,,,High,Likely covered,
Psychiatry & Mental Health,"Alcohol and alcohol related diseases, substance abuse",,,,Medium,Likely covered,
Psychiatry & Mental Health,Anorexia nervosa,,,,Medium,Likely covered,
Psychiatry & Mental Health,Anxiety and panic,,,,High,Likely covered,
Psychiatry & Mental Health,Anxiety disorders,,,,High,Likely covered,
Psychiatry & Mental Health,Attention Deficit Hyperactivity Disorder (ADHD),,,,Medium,Unlikely covered,"Oxford Handbook of Psychiatry, or Zero to Finals - Psychiatry"
Psychiatry & Mental Health,Avoidant Personality disorders,,,,Medium,Likely covered,
Psychiatry & Mental Health,Binge-eating disorder,,,,High,Likely covered,
Psychiatry & Mental Health,Bipolar affective disorder,,,,High,Likely covered,
Psychiatry & Mental Health,Bipolar disorder,,,,High,Likely covered,
Psychiatry & Mental Health,Borderline Personality disorders,,,,Medium,Likely covered,
Psychiatry & Mental Health,Bulimia nervosa,,,,Medium,Likely covered,
Psychiatry & Mental Health,"Common substances include alcohol, opioids, cannabis, stimulants, sedatives, solvents, caffeine, hallucinogen",,,,Medium,Partially covered,"Oxford Handbook of Psychiatry, or Zero to Finals - Psychiatry"
Psychiatry & Mental Health,Cyclothymia,,,,Medium,Unlikely covered,"Oxford Handbook of Psychiatry, or Zero to Finals - Psychiatry"
Psychiatry & Mental Health,Dependent Personality disorders,,,,Medium,Likely covered,
Psychiatry & Mental Health,Depression,,,,High,Likely covered,
Psychiatry & Mental Health,Eating disorders,,,,High,Likely covered,
Psychiatry & Mental Health,Factitious disorder,,,,Medium,Unlikely covered,"Oxford Handbook of Psychiatry, or Zero to Finals - Psychiatry"
Psychiatry & Mental Health,Gambling-related harms,,,,Medium,Partially covered,"Oxford Handbook of Psychiatry, or Zero to Finals - Psychiatry"
Psychiatry & Mental Health,Generalised anxiety disorder (GAD),,,,High,Likely covered,
Psychiatry & Mental Health,Histrionic Personality disorders,,,,Medium,Likely covered,
Psychiatry & Mental Health,Illness anxiety disorder,,,,High,Likely covered,
Psychiatry & Mental Health,Medically unexplained symptoms,,,,Medium,Likely covered,
Psychiatry & Mental Health,Mental Health Act esp clinical application,,,,Medium,Likely covered,
Psychiatry & Mental Health,Mood disorders,,,,Medium,Likely covered,
Psychiatry & Mental Health,Narcissistic Personality disorders,,,,Medium,Likely covered,
Psychiatry & Mental Health,Obsessive compulsive disorder (OCD),,,,Medium,Likely covered,
Psychiatry & Mental Health,Obsessive-compulsive Personality disorders,,,,Medium,Likely covered,
Psychiatry & Mental Health,Paranoid Personality disorders,,,,Medium,Likely covered,
Psychiatry & Mental Health,Perinatal depression,,,,High,Likely covered,
Psychiatry & Mental Health,Personality disorder,,,,High,Likely covered,
Psychiatry & Mental Health,Post-partum psychosis,,,,High,Partially covered,"Oxford Handbook of Psychiatry, or Zero to Finals - Psychiatry"
Psychiatry & Mental Health,Post-traumatic stress disorder (PTSD),,,,High,Likely covered,
Psychiatry & Mental Health,Psychiatric history and mental state examination,,,,High,Unlikely covered,"Oxford Handbook of Psychiatry, or Zero to Finals - Psychiatry"
Psychiatry & Mental Health,"Psychological impact of trauma, PTSD",,,,Medium,Likely covered,
Psychiatry & Mental Health,Psychological therapies,,,,Medium,Unlikely covered,"Oxford Handbook of Psychiatry, or Zero to Finals - Psychiatry"
Psychiatry & Mental Health,Psychology & Psychiatric Disorders of Pregnancy & Postpartum (Domestic Violence see GP sec),,,,High,Partially covered,"Oxford Handbook of Psychiatry, or Zero to Finals - Psychiatry"
Psychiatry & Mental Health,Psychotic disorder,,,,High,Likely covered,
Psychiatry & Mental Health,Psychotic episode,,,,Medium,Likely covered,
Psychiatry & Mental Health,Psychotropic Medications,,,,Medium,Unlikely covered,"Oxford Handbook of Psychiatry, or Zero to Finals - Psychiatry"
Psychiatry & Mental Health,Schizoaffective disorder,,,,Medium,Unlikely covered,"Oxford Handbook of Psychiatry, or Zero to Finals - Psychiatry"
Psychiatry & Mental Health,Schizoid Personality disorders,,,,Medium,Likely covered,
Psychiatry & Mental Health,Schizophrenia,,,,High,Likely covered,
Psychiatry & Mental Health,Schizotypal Personality disorders,,,,Medium,Likely covered,
Psychiatry & Mental Health,Seasonal affective disorder,,,,Medium,Unlikely covered,"Oxford Handbook of Psychiatry, or Zero to Finals - Psychiatry"
Psychiatry & Mental Health,Somatic symptom disorder,,,,Medium,Unlikely covered,"Oxford Handbook of Psychiatry, or Zero to Finals - Psychiatry"
Psychiatry & Mental Health,Specific phobias,,,,Medium,Unlikely covered,"Oxford Handbook of Psychiatry, or Zero to Finals - Psychiatry"
Psychiatry & Mental Health,Substance intoxication,,,,Medium,Likely covered,
Psychiatry & Mental Health,Substance misuse and withdrawal syndromes,,,,High,Likely covered,
Psychiatry & Mental Health,Substance misuse disorder,,,,High,Likely covered,
Psychiatry & Mental Health,Substance withdrawal,,,,High,Likely covered,
Psychiatry & Mental Health,Suicide (including drug overdose),,,,High,Likely covered,
Psychiatry & Mental Health,Suicide and self-harm / Risk Assessment,,,,High,Partially covered,"Oxford Handbook of Psychiatry, or Zero to Finals - Psychiatry"
Renal & Urology,Acute Tubular Necrosis,,,,Low,Likely covered,
Renal & Urology,Acute kidney injury,,,,High,Likely covered,
Renal & Urology,Autism Spectrum Disorder (ASD),,,,Medium,Likely covered,
Renal & Urology,Benign prostatic hypertrophy (BPH),,,,Low,Likely covered,
Renal & Urology,Bladder MALIGNANCY,,,,Medium,Likely covered,
Renal & Urology,Bladder cancer,,,,High,Likely covered,
Renal & Urology,"Blood glucose (BSL), Urine dipstick + pregnancy test",,,,Medium,Partially covered,Zero to Finals - Renal / Urology
Renal & Urology,CT KUB,,,,Low,Unlikely covered,Zero to Finals - Renal / Urology
